Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,Battery_Cell,
"C1, C2",C_Radial_D8.0mm_H7.0mm_P3.50mm,2,C,
"D1, D2, D3, D4",LED_D5.0mm,4,LED,
M1,PinHeader_1x02_P2.54mm_Vertical,1,Motor_DC,
"Q1, Q2, Q3",TO-92_HandSolder,3,NPN,
"R1, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,47k,
"R2, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,220,
"R3, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7k,
RV1,Potentiometer_Vishay_T73YP_Vertical,1,R_Potentiometer,
R_PHOTO1,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,R_Photo,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
