Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.5,-65.0,180.0,top
C1,140.0,-108.0,0.0,top
C2,150.0,-108.0,0.0,top
D1,129.995,-108.0,0.0,top
D2,139.995,-133.0,0.0,top
D3,149.995,-133.0,0.0,top
D4,159.995,-120.0,0.0,top
M1,160.0,-132.995,0.0,top
Q1,130.0,-119.635,0.0,top
Q2,140.0,-119.635,0.0,top
Q3,150.0,-119.635,0.0,top
R1,127.5,-94.0,270.0,top
R2,132.5,-94.0,270.0,top
R3,137.5,-94.0,270.0,top
R4,142.5,-94.0,270.0,top
R5,147.5,-94.0,270.0,top
R6,152.5,-94.0,270.0,top
R7,157.5,-94.0,270.0,top
R8,162.5,-94.0,270.0,top
RV1,161.27,-107.5,0.0,top
R_PHOTO1,130.0,-133.0,0.0,top
SW1,156.0,-61.5,0.0,top
SW2,156.006667,-73.5,0.0,top
